timestamp,event subtype,RSSI
1657225812.889320,44,-39
1657225833.337860,44,-37
1657225833.380420,44,-39
1657225853.828650,44,-33
1657225853.870860,44,-33
1657225854.477330,44,-39
1657225854.515740,13,-39
1657225854.519220,44,-39
1657225856.792350,44,-33
1657225856.834310,44,-33
1657225859.612550,40,-39
1657225859.613920,44,-41
1657225859.656460,44,-39
1657225869.394220,44,-33
1657225869.436550,44,-79
1657225869.438590,44,-33
1657225869.654450,44,-33
1657225869.898420,44,-33
1657225870.122150,44,-39
1657225870.265110,44,-39
1657225871.757570,44,-33
1657225871.799150,44,-33
1657225872.068700,44,-33
1657225872.071740,13,-35
1657225872.111170,44,-33
1657225874.629970,44,-39
1657225874.633770,40,-39
1657225874.672420,44,-39
1657225884.460360,44,-33
1657225884.503420,44,-33
1657225889.582960,40,-33
1657225889.585310,44,-33
1657225889.628150,44,-33
1657225893.530400,44,-33
1657225893.572020,44,-33
1657225914.021120,44,-39
1657225914.063560,44,-39
1657225934.508550,44,-39
1657225934.550160,44,-41
1657225947.656710,44,-41
1657225947.675180,13,-41
1657225947.699720,44,-41
1657225953.008970,44,-43
1657225953.015060,40,-43
1657225953.052080,44,-41
1657225953.396370,40,-41
1657225953.397900,44,-41
1657225953.406090,13,-41
1657225953.440010,44,-41
1657225954.999230,44,-35
1657225955.041030,44,-35
1657225975.489230,44,-33
1657225975.531020,44,-33
1657225992.139830,44,-39
1657225992.182070,44,-37
1657225992.245200,44,-37
1657225992.288160,44,-37
1657225995.321260,44,-33
1657225995.363860,44,-33
1657226000.239470,44,-39
1657226000.243110,40,-39
1657226000.281750,44,-39
1657226012.629560,44,-33
1657226012.671340,44,-33
1657226033.118550,44,-33
1657226033.161590,44,-93
1657226053.104260,44,-33
1657226053.253050,44,-33
1657226053.610070,44,-33
1657226053.652940,44,-33
1657226074.099440,44,-33
1657226074.142510,44,-33
1657226094.589910,44,-37
1657226094.632830,44,-39
1657226112.521330,44,-33
1657226112.563150,44,-33
1657226112.729060,44,-95
1657226112.737570,13,-39
1657226112.771370,44,-41
1657226133.009510,44,-15
1657226133.052250,44,-33
1657226153.498080,44,-39
1657226153.540230,44,-39
1657226153.812340,44,-39
1657226153.854960,44,-39
1657226154.122160,44,-39
1657226154.126420,13,-39
1657226154.255240,40,-36
1657226154.773720,44,-37
1657226155.041790,44,-15
1657226155.086500,44,-15
1657226155.096480,44,-37
1657226155.143560,44,-37
1657226158.835560,44,-33
1657226158.841810,40,-33
1657226158.877910,44,-33
1657226158.930030,44,-33
1657226158.973230,44,-33
1657226165.265330,40,-33
1657226165.266760,44,-33
1657226165.309490,44,-33
1657226166.281780,44,-37
1657226166.324530,44,-37
1657226173.990430,44,-31
1657226174.033490,44,-33
1657226194.478780,44,-33
1657226194.521390,44,-33
1657226214.969430,44,-33
1657226214.971820,44,-33
1657226215.014420,44,-33
1657226232.900440,44,-39
1657226232.943470,44,-41
1657226233.212830,44,-39
1657226233.256670,44,-39
1657226254.668800,44,-39
1657226254.712300,44,-41
1657226275.159610,44,-39
1657226275.201270,44,-39
1657226287.999260,44,-37
1657226288.100390,44,-37
1657226288.412900,44,-37
1657226288.514560,44,-37
1657226288.663370,4,-37
1657226288.691980,4,-35
1657226288.713540,4,-37
1657226288.772520,44,-37
1657226288.874700,44,-37
1657226288.903180,4,-37
1657226288.925120,4,-37
1657226289.003120,4,-39
1657226289.024520,4,-39
1657226289.062390,4,-41
1657226289.084200,4,-43
1657226289.165000,44,-37
1657226289.207890,44,-35
1657226295.648050,40,-42
1657226295.649220,44,-35
1657226295.691720,44,-35
1657226302.166260,44,-35
1657226302.174250,13,-37
1657226302.184060,40,-41
1657226302.208680,44,-35
1657226302.271100,40,-43
1657226302.274640,44,-37
1657226302.317390,44,-37
1657226302.573990,44,-37
1657226302.618660,44,-37
1657226315.717110,40,-41
1657226315.721330,44,-37
