timestamp,event subtype,RSSI
1657742380.511920,44,-39
1657742380.554110,44,-41
1657742391.607330,44,-37
1657742391.752670,44,-39
1657742393.005570,40,-35
1657742393.007060,44,-35
1657742393.049850,44,-35
1657742400.988850,44,-35
1657742401.031030,44,-37
1657742404.213920,44,-35
1657742404.258680,44,-93
1657742404.406330,44,-35
1657742404.552760,44,-35
1657742417.410860,44,-39
1657742417.412720,13,-41
1657742417.414600,13,-41
1657742417.414610,13,-39
1657742417.453340,44,-41
1657742417.510290,44,-35
1657742417.510300,44,-35
1657742417.653710,44,-37
1657742421.344920,44,-39
1657742421.387000,44,-41
1657742422.530650,44,-41
1657742422.537000,40,-41
1657742422.575650,44,-41
1657742433.282120,44,-43
1657742433.325860,44,-39
1657742438.196670,44,-41
1657742438.343110,44,-39
1657742439.220570,44,-37
1657742439.220580,44,-37
1657742439.465570,44,-39
1657742441.944090,44,-39
1657742441.986290,44,-39
1657742446.286270,44,-37
1657742446.432200,44,-39
1657742446.689420,44,-39
1657742446.734240,44,-39
1657742447.002420,44,-39
1657742447.046710,44,-39
1657742447.135620,44,-39
1657742447.282630,44,-39
1657742450.893560,44,-37
1657742451.040110,44,-39
1657742452.225210,44,-39
1657742452.268110,44,-39
1657742452.516640,44,-39
1657742452.525960,44,-37
1657742452.660520,44,-37
1657742462.425080,44,-39
1657742462.470030,44,-39
1657742482.901480,44,-41
1657742482.944900,44,-37
1657742493.695150,44,-37
1657742493.737780,44,-37
1657742498.609660,44,-39
1657742498.653320,44,-39
1657742499.531710,44,-39
1657742499.775020,44,-39
1657742500.824600,44,-41
1657742500.867420,44,-37
1657742504.546490,44,-39
1657742504.552450,40,-39
1657742504.553930,40,-39
1657742504.592410,44,-39
1657742507.495890,40,-41
1657742507.497360,44,-39
1657742507.539980,44,-39
1657742507.967010,44,-39
1657742508.009570,44,-39
1657742511.511920,44,-39
1657742511.554860,44,-39
1657742511.556470,44,-39
1657742511.599440,44,-39
1657742511.788300,44,-39
1657742511.936220,44,-37
1657742514.195170,44,-39
1657742514.237840,44,-37
1657742514.552950,44,-39
1657742514.897160,44,-39
1657742515.146620,44,-39
1657742515.153700,13,-39
1657742515.490690,44,-39
1657742516.049410,44,-37
1657742516.059310,44,-39
1657742516.507430,44,-37
1657742517.143260,44,-39
1657742517.187100,44,-39
1657742519.229140,44,-39
1657742519.274050,44,-39
1657742522.580600,44,-39
1657742522.622650,44,-39
1657742524.908680,44,-39
1657742525.152510,44,-39
1657742525.436460,44,-37
1657742525.584700,44,-37
1657742525.755550,44,-37
1657742525.903790,44,-39
1657742530.084350,44,-37
1657742530.126610,44,-37
1657742530.306780,44,-39
1657742530.348850,44,-39
1657742530.534430,44,-39
