timestamp,event subtype,RSSI
1658950690.711810,4,-43
1658950690.734350,4,-49
1658950691.702350,4,-33
1658950691.725550,4,-21
1658950691.821820,4,-23
1658950691.897310,4,-27
1658950691.918890,4,-27
1658950692.246780,4,-45
1658950692.549370,4,-51
1658950692.600380,4,-53
1658950875.739870,4,-28
1658950875.765950,4,-28
1658950876.397240,32,-70
1658950876.494880,32,-69
1658950877.094290,32,-57
1658954895.655430,32,-61
1658954895.655440,32,-59
1658954895.655440,32,-58
1658954964.265030,32,-61
1658954964.265030,32,-61
1658955429.999290,11,-27
1658955430.020430,36,-27
1658955430.131840,36,-27
1658955430.133570,40,-27
1658955430.141790,40,-31
1658955430.349510,36,-31
1658955430.384220,36,-31
1658955430.385470,13,-31
1658955430.386770,13,-31
1658955430.391510,13,-33
1658955430.459020,36,-31
1658955430.573440,36,-31
1658955430.573450,36,-31
1658955430.576380,40,-31
1658955430.577400,40,-31
1658955430.645060,13,-31
1658955430.679230,36,-35
1658955430.795210,36,-31
1658955430.898040,36,-31
1658955431.012250,36,-33
1658955431.017240,44,-31
1658955431.038690,44,-31
1658955431.119690,36,-31
1658955431.231630,36,-31
1658955431.243850,44,-31
1658955431.453100,36,-35
1658955431.778760,36,-31
1658955431.891810,36,-31
1658955432.119740,36,-31
1658955432.333740,36,-31
1658955432.437680,36,-35
1658955432.551540,36,-15
1658955432.783870,36,-35
1658955432.785520,36,-31
1658955432.940040,36,-31
1658955432.991120,36,-33
1658955432.991140,36,-31
1658955433.098580,36,-35
1658955433.212350,36,-35
1658955433.540430,36,-15
1658955433.683400,36,-35
1658955433.871000,36,-35
1658955433.872250,36,-35
1658955433.978780,36,-15
1658955434.101740,36,-35
1658955434.198820,36,-35
1658955434.315890,36,-35
1658955434.317440,36,-35
1658955434.418280,36,-35
1658955434.543850,36,-35
1658955435.080590,44,-31
1658955435.114730,32,-61
1658955435.114730,32,-60
1658955435.442220,36,-35
1658955435.442220,36,-35
1658955435.553580,36,-35
1658955435.660490,36,-31
1658955436.110890,36,-35
1658955436.213140,36,-35
1658955436.213150,36,-35
1658955436.431010,36,-31
1658955436.431010,36,-31
1658955436.433070,36,-35
1658955436.767250,36,-31
1658955436.863650,36,-31
1658955436.875850,36,-31
1658955436.980600,36,-31
1658955437.100740,36,-33
1658955437.200490,36,-31
1658955437.272200,36,-35
1658955437.753540,36,-33
1658955437.982210,36,-33
1658955438.417860,44,-35
1658955438.537210,36,-35
1658955438.721930,36,-15
1658955438.822560,44,-35
1658955440.141060,44,-35
1658955440.507280,36,-31
1658955440.700020,36,-31
1658955440.701170,40,-31
1658955441.273280,36,-35
1658955441.385990,36,-33
1658955441.964680,36,-31
1658955441.971430,36,-31
1658955442.151790,36,-31
1658955442.267840,36,-31
1658955442.371760,36,-31
1658955442.392370,36,-33
1658955442.395270,36,-31
1658955442.698280,36,-35
1658955442.704450,36,-31
1658955442.705850,36,-35
1658955443.032050,36,-35
1658955443.123140,36,-35
1658955443.401330,44,-35
1658955443.403210,44,-17
1658955443.472760,36,-35
1658955443.601320,36,-35
1658955443.603070,36,-35
1658955443.603070,36,-35
1658955444.133010,36,-31
1658955444.138270,36,-33
1658955444.221530,36,-31
1658955444.273910,36,-35
1658955444.273910,36,-35
1658955444.273920,36,-31
1658955444.460690,36,-31
1658955444.461840,36,-31
1658955444.611110,44,-31
1658955444.686430,44,-35
1658955444.995290,36,-31
1658955445.104900,36,-31
1658955445.104910,44,-31
1658955445.868400,44,-31
1658955446.401160,36,-35
1658955446.540740,36,-33
1658955447.226250,36,-31
1658955447.227940,36,-35
1658955447.229100,36,-35
1658955447.411710,36,-33
1658955447.414280,36,-31
1658955447.778500,36,-31
1658955447.812770,36,-35
1658955447.890320,36,-31
1658955447.993520,36,-31
1658955448.105620,36,-31
1658955448.221290,36,-31
1658955448.221300,36,-31
1658955448.544170,36,-31
1658955448.953210,36,-33
1658955449.062620,40,-36
1658955449.437410,36,-33
1658955449.531640,36,-31
1658955449.622150,36,-31
1658955449.974340,36,-31
1658955449.980810,36,-31
1658955449.983590,36,-31
1658955450.085400,36,-31
1658955450.085400,36,-31
1658955450.192170,36,-31
1658955450.329200,36,-31
1658955450.329200,36,-31
1658955450.332670,36,-31
1658955450.632840,36,-35
1658955450.639230,36,-33
1658955450.730260,36,-31
1658955450.744990,36,-31
1658955450.967260,36,-31
1658955451.074360,36,-31
1658955451.142900,36,-31
1658955451.144150,36,-33
1658955451.512860,36,-33
1658955451.636680,36,-31
1658955451.811850,36,-31
1658955451.811860,36,-33
1658955452.176850,36,-35
1658955452.178750,36,-35
1658955452.191670,36,-35
1658955452.392350,36,-35
1658955452.654480,44,-31
1658955452.656510,44,-33
1658955452.734870,4,-33
1658955452.755280,4,-35
1658955452.899730,44,-31
1658955452.899740,44,-31
1658955452.998910,44,-27
1658955453.202280,44,-37
1658955453.207310,13,-37
1658955453.313180,44,-43
1658955454.162340,32,-62
1658955457.028610,4,-35
1658955457.028620,4,-34
1658955457.041780,4,-37
1658955482.004600,4,-31
1658955482.004600,4,-31
1658955482.024050,4,-27
1658955542.008380,4,-49
1658955542.008380,4,-47
1658955542.009990,4,-47
1658955542.030500,4,-81
1658955634.021330,4,-41
1658955634.044320,4,-40
1658955634.285520,11,-39
1658955634.291410,0,-39
1658955634.313420,40,-35
1658955634.337840,40,-39
1658955634.347650,13,-39
1658955634.348990,13,-43
1658955634.348990,13,-43
1658955634.350160,13,-43
1658955634.364800,40,-43
1658955634.403250,40,-43
1658955634.411840,40,-43
1658955634.589880,44,-45
1658955634.690520,44,-47
1658955634.695070,44,-49
1658955634.853060,44,-39
1658955634.958010,40,-45
1658955635.107410,44,-39
1658955635.111460,44,-43
1658955635.177540,13,-39
1658955635.344530,40,-47
1658955635.344530,40,0
1658955635.351160,40,-47
1658955635.351160,40,0
1658955636.338200,44,-47
1658955636.389010,44,-49
1658955645.388330,44,-39
1658955645.550740,44,-43
1658955646.414330,44,-51
1658955646.469390,44,-49
1658955647.128910,44,-51
1658955648.111420,44,-53
1658955648.113170,44,-49
1658955648.115670,44,-53
1658955648.162460,44,-51
1658955648.421180,44,-43
1658955648.469480,44,-43
1658955650.109160,44,-39
1658955650.161010,44,-43
1658955650.687190,44,-43
1658955651.035560,44,-45
1658955651.109780,44,-47
1658955651.111280,44,-47
1658955651.111280,44,-49
1658955651.161600,44,-47
1658955651.551600,44,-51
1658955651.599030,44,-49
1658955652.089270,44,-45
1658955652.167780,44,-43
1658955652.416140,44,-45
1658955652.457820,44,-39
1658955652.457820,44,-39
1658955652.663910,44,-43
1658955652.707820,44,-39
1658955661.510090,44,-39
1658955661.817130,32,-63
1658955661.955000,44,-43
1658955661.982360,44,-43
1658955662.196910,40,-49
1658955662.196910,40,0
1658955662.198540,40,-48
1658955662.198540,40,0
1658955662.428950,44,-43
1658955662.533160,44,-39
1658955662.575440,44,-43
1658955662.743840,40,-47
1658955662.752360,44,-49
1658955662.795640,44,-49
1658955665.052160,44,-43
1658955665.359810,44,-51
1658955665.623670,44,-39
1658955665.666100,44,-43
1658955666.547790,44,-49
1658955666.592470,44,-47
1658955666.643850,44,-47
1658955696.655870,36,-45
1658955706.276780,44,-43
1658955706.325470,44,-43
1658955711.500410,44,-47
